key-flower,product-name,cultivar,thc-level,cbd-level,radiation,wholesaler,genetic,origin,lowest-offer
bathera 24/1: permanent marker,bathera 24/1,permanent marker,22.1,0.1,no,IUVO Therapeutics,Indica,Portugal,8.95
avaay signature 28/1 gpm: gun powder milkshake,avaay signature 28/1 gpm,gun powder milkshake,27.3,0.1,no,avaay,Hybrid Indica-dominant,Kanada,0.0
madrecan 18/1: shark attack,madrecan 18/1,shark attack,18.9,0.13,e-beam,Remexian,Indica,,0.0
420 evolution 30/1 ca bul: bucket list,420 evolution 30/1 ca bul,bucket list,27.7,1.0,no,420 Pharma,Sativa,Kanada,0.0
avaay 28/1 gnc: grapes and cream,avaay 28/1 gnc,grapes and cream,25.5,1.0,no,avaay,Hybrid Indica-dominant,,0.0
cnbs cpj 31/1: cap junky,cnbs cpj 31/1,cap junky,31.6,0.1,no,Medical CNBS,Hybrid,,0.0
420 evolution 36/1 ca pch: peach chementine,420 evolution 36/1 ca pch,peach chementine,36.4,0.2,no,420 Pharma,Hybrid Indica-dominant,,0.0
grünhorn gg 22/1: gorilla glue,grünhorn gg 22/1,gorilla glue,20.72,0.2,no,420 Pharma,Hybrid Indica-dominant,,0.0
huala 22/1 ca dog: chemdog,huala 22/1 ca dog,chemdog,21.54,0.4,no,420 Pharma,Hybrid Indica-dominant,Kanada,0.0
remexian 24/1 let: lemon thrill,remexian 24/1 let,lemon thrill,25.5,0.1,no,Remexian,Hybrid Sativa-dominant,,0.0
pedanios 20/1 la-ca: la confidential,pedanios 20/1 la-ca,la confidential,20.2,0.1,e-beam,Aurora,Indica,,0.0
420 evolution 25/1 ca icc: ice cream cake kush mints,420 evolution 25/1 ca icc,ice cream cake kush mints,24.99,0.1,no,420 Pharma,Hybrid Indica-dominant,Kanada,0.0
remexian 30/1 lpp: lemon pepper punch,remexian 30/1 lpp,lemon pepper punch,28.5,0.1,no,Remexian,Hybrid Sativa-dominant,Kanada,0.0
therismos 25/1 dsm: dark side of the moon,therismos 25/1 dsm,dark side of the moon,25.0,0.1,non-irradiated,Therismos,Hybrid,Kanada,0.0
cannabistada tro 17: tropicana cookies,cannabistada tro 17,tropicana cookies,17.0,0.1,non-irradiated,Stada,Hybrid,Kanada,0.0
drapalin 24/1 bafokeng choice: white lemon x marakabei local,drapalin 24/1 bafokeng choice,white lemon x marakabei local,24.0,0.1,non-irradiated,Drapalin Pharmaceuticals,Hybrid,Lesotho,0.0
tilray thc18 spotlight vancouver: rockstar,tilray thc18 spotlight vancouver,rockstar,18.0,0.1,irradiated,Tilray,Indica,Kanada,0.0
avaay 21/1 sk: sour kush,avaay 21/1 sk,sour kush,21.0,0.1,non-irradiated,Vayamed,Hybrid,Kanada,0.0
avaay 23/1 pyc: peyote critical,avaay 23/1 pyc,peyote critical,23.0,0.1,non-irradiated,Vayamed,Indica,Portugal,0.0
remexian 30/1 twe abr: alien breath,remexian 30/1 twe abr,alien breath,29.2,0.2,no,Remexian,Hybrid Sativa-dominant,,0.0
cannamedical indica forte nm: kerosene krash,cannamedical indica forte nm,kerosene krash,22.1,0.1,no,Cannamedical,Indica,Nordmazedonien,0.0
enua 22/1 jfg ca: jet fuel gelato,enua 22/1 jfg ca,jet fuel gelato,23.5,0.1,e-beam,enua Pharma GmbH,Hybrid,Kanada,6.99
420 compound 25/1 ca rgr: rose gold runtz,420 compound 25/1 ca rgr,rose gold runtz,24.64,0.4,no,420 Pharma,Hybrid Indica-dominant,Kanada,10.95
cannabis flos 20/1 uy ku.: big buddah,cannabis flos 20/1 uy ku.,big buddah,19.9,0.1,no,Canify,Indica,Uruguay,0.0
cannamedical sativa classic nm: gelato dream,cannamedical sativa classic nm,gelato dream,20.7,0.1,no,Cannamedical,Sativa,Nordmazedonien,0.0
tilray thc 22 spotlight porto: biscuit rntz,tilray thc 22 spotlight porto,biscuit rntz,21.3,0.1,e-beam,Tilray,Hybrid Indica-dominant,,0.0
madrecan 18/1: granddaddy og,madrecan 18/1,granddaddy og,16.8,0.05,e-beam,Remexian,Indica,,0.0
cm 28/1 za: zour apple,cm 28/1 za,zour apple,27.7,0.1,no,Cannamedical,Hybrid,Kanada,0.0
peace naturals 33/1 sc: space cake,peace naturals 33/1 sc,space cake,33.6,0.1,no,Cansativa,Hybrid Sativa-dominant,Kanada,0.0
indimed 20/1 iss-de: island sweet skunk,indimed 20/1 iss-de,island sweet skunk,20.0,0.1,irradiated,Aurora,Sativa,Deutschland,10.0
remexian 20/1: white widow,remexian 20/1,white widow,19.8,0.1,e-beam,Remexian,Hybrid,Dänemark,0.0
